# code: kr
# key, value

language_name, 한국어
zoom, 확대/축소
show_step_outlines, 홀드 중간점 외곽선 표시
#- hide_step_outlines_during_playback,
draw_waveform, 파형 표시
#- stop_playback_at_music_end,
edit_bpm, BPM 편집
tick, 틱 (Tick)
remove, 제거
edit_time_signature, 박자표 편집
measure, 마디
skill, 스킬
skill_effect, 효과
skill_effect_score, 점수 부스트
skill_effect_heal, 회복
skill_effect_perfect, 퍼펙트 잠금
skill_level, 레벨
increase_note_size, 노트 크기 확대
decrease_note_size, 노트 크기 축소
hi_speed, 하이 스피드 (배속)
edit_hi_speed, 하이 스피드 편집
hi_speed_speed, 속도
hi_speed_skip_beat, 비트 건너뛰기
hi_speed_ease, 이징 (Ease)
hi_speed_ease_none, 없음
hi_speed_ease_linear, 선형 (Linear)
hi_speed_hide_notes, 노트 숨기기
fade_none, 페이드 없음
fade_in, 페이드 인
fade_out, 페이드 아웃
fade_custom, 페이드 커스텀
fade_classic, 페이드 클래식
guide_color, 가이드 색상
guide_neutral, 중립 (Neutral)
guide_red, 빨강
guide_blue, 파랑
guide_green, 초록
guide_yellow, 노랑
guide_purple, 보라
guide_cyan, 청록
guide_black, 검정
layer, 레이어
edit_skill, 스킬 트리거 편집
edit_fever, Fever 트리거 편집
edit_none, 편집
edit_event, 이벤트 편집
beat, 비트
lane, 레인
width, 너비
advanced, 고급
note_properties_note, 노트 속성
note_properties_hi_speed, 하이 스피드 속성
note_properties_hold_note, 홀드 노트 속성
note_properties_guide, 가이드 속성
note_properties_not_selected, 선택된 노트나 하이 스피드가 없습니다.
note_properties_mixed_value, --혼합됨--
translated_by, 번역: %s
zoom_tooltip, Ctrl-클릭으로 값 편집
timeline_context_not_selected, 열려 있거나 선택된 타임라인이 없습니다.
extended_score, 확장 채보
note_select_tool_tip, Ctrl 키로 선택하거나 Alt 키로 선택을 해제합니다.

# preset manager
presets, 프리셋
no_presets, 사용할 수 있는 프리셋이 없습니다.
preset_name, 이름
description, 설명
create_preset, 프리셋 생성
search, 검색...
confirm, 확인

# layer manager
layers, 레이어
layer_name, 이름
create_layer, 레이어 생성
